NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,17,11,25,0.131319,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,17,11,25,0.2040348,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,17,11,25,0.3039353,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,17,11,25,0.4042732,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,17,11,25,0.5040843,0
0,1,2,1,0,0.3075551,0.5085009,8.107554,15,3,3,27,27,27,1,2,23,17,11,25,0.6129446,4
2,1,2,1,0.3085001,0.3075551,1.008503,7.607552,15,3,3,27,27,27,1,2,23,17,11,25,0.7044082,4
2,1,2,1,0.3085001,0.3075551,1.208503,7.407552,15,3,3,27,27,27,1,2,23,17,11,25,0.8039654,4
2,1,2,1,0.008500335,0.6075547,1.208503,7.407551,15,3,3,27,27,27,1,2,23,17,11,25,0.9037376,1
2,1,2,1,0.008500335,0.6075547,1.208503,7.407551,15,3,3,27,27,27,1,2,23,17,11,25,1.004498,1
2,1,2,1,0.008500335,0.6075547,1.208503,7.407551,15,3,3,27,27,27,1,2,23,17,11,25,1.104094,4
2,1,2,1,0.008500335,0.6075547,1.608505,7.00755,15,3,3,27,27,27,1,2,23,17,11,25,1.204047,4
2,1,2,1,0.008500335,0.6075548,2.108507,6.507548,15,3,3,27,27,27,1,2,23,17,11,25,1.303922,4
2,1,2,1,0.008500335,0.6075548,2.608509,6.007546,15,3,3,27,27,27,1,2,23,17,11,25,1.408329,4
2,1,2,1,0.008500335,0.6075547,3.108511,5.507544,15,3,3,27,27,27,1,2,23,17,11,25,1.504204,4
2,1,2,1,0.008500335,0.6075547,3.608511,5.007544,15,3,3,27,27,27,1,2,23,17,11,25,1.603821,4
2,1,2,1,0.008500335,0.6075547,3.90851,4.707544,15,3,3,27,27,27,1,2,23,17,11,25,1.70397,4
2,1,2,1,0.008500335,0.6075547,3.90851,4.707544,15,3,3,27,27,27,1,2,23,17,11,25,1.803606,4
2,1,2,1,0.008500335,0.6075547,3.90851,4.707544,15,3,3,27,27,27,1,2,23,17,11,25,1.904086,4
2,1,2,1,0.008500335,0.6075547,3.90851,4.707544,15,3,3,27,27,27,1,2,23,17,11,25,2.006804,1
2,1,2,1,10.0085,0.6075548,4.00851,4.607544,15,3,2.7,27,27,27,1,2,23,17,11,25,2.106825,4
2,1,2,1,10.0085,0.6075547,4.50851,4.107545,15,3,2.7,27,27,27,1,2,23,17,11,25,2.207425,4
2,1,2,1,0.008500335,0.6075547,5.008509,3.607546,15,3,2.7,27,27,27,1,2,23,17,11,25,2.306841,4
2,1,2,1,0.008500335,0.6075547,5.508509,3.107546,15,3,2.7,27,27,27,1,2,23,17,11,25,2.406841,4
2,1,2,1,0.008500335,0.6075548,6.008508,2.607547,15,3,2.7,27,27,27,1,2,23,17,11,25,2.506425,4
2,1,2,1,0.008500335,0.6075548,6.508508,2.107547,15,3,2.7,27,27,27,1,2,23,17,11,25,2.615427,4
2,1,2,1,0.008500335,0.6075547,7.008508,1.607548,15,3,2.7,27,27,27,1,2,23,17,11,25,2.706984,4
2,1,2,1,0.008500335,0.6075547,7.508507,1.107548,15,3,2.7,27,27,27,1,2,23,17,11,25,2.808422,4
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,2.907844,4
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.004332,4
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.106827,1
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.204021,1
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.307062,1
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.412962,1
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.500453,1
2,1,2,1,0.008500335,0.6075547,7.908505,0.7075484,15,3,2.7,27,27,27,1,2,23,17,11,25,3.612941,1
1,1,2,1,10.0085,0.6075547,8.108506,0.5075487,15,3,2.7,27,27,27,1,2,23,17,11,25,3.706786,4
1,1,2,1,10.0085,0.6075548,8.608506,0.007549165,15,3,2.7,27,27,27,1,2,23,17,11,25,3.812665,4
1,1,2,1,10.0085,0.6075548,8.608506,0.007549165,15,3,2.7,27,27,27,1,2,23,17,11,25,3.908507,4
1,1,2,1,9.908501,0.7075546,0.608506,0.007549165,15,3,2.7,27,27,27,1,2,23,17,11,25,4.006218,1
1,1,2,1,9.408501,1.207554,0.608506,0.007549165,15,3,2.7,26.5,27,26.5,1,2,23,17,11,25,4.106464,1
1,1,2,1,8.908502,1.707554,0.608506,0.007549165,15,3,2.7,26,27,26,1,2,23,17,11,25,4.207069,1
1,1,2,1,8.408502,2.207553,0.608506,0.007549165,15,3,2.7,25.49999,27,25.49999,1,2,23,17,11,25,4.308029,1
1,1,2,1,7.908503,2.707553,0.608506,0.007549165,15,3,2.7,24.99999,27,24.99999,1,2,23,17,11,25,4.40613,1
1,1,2,1,7.408503,3.207552,0.608506,0.007549165,15,3,2.7,24.49999,27,24.49999,1,2,23,17,11,25,4.508001,1
