NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,19,15,27,0.1004397,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,19,15,27,0.2015026,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,19,15,27,0.3012771,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,19,15,27,0.4021789,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,19,15,27,0.5022503,0
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,19,15,27,0.6031538,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,0.7014779,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,0.8023174,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,0.9019047,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,1.002019,1
0,1,2,2,0,3.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,1.103145,1
0,1,2,2,0,3.607552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,1.202088,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,1.302762,1
0,1,2,2,0,4.607551,8.3085,0.3085001,15,3,3,27,27,27,1,2,27,19,15,27,1.403397,1
1,1,2,1,19.50756,5.10755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,19,15,27,1.502156,1
1,1,2,1,19.00756,5.607551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,19,15,27,1.600265,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,19,15,27,1.703591,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,19,15,27,1.801551,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,19,15,27,1.900374,1
1,1,2,1,17.00755,7.607559,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,19,15,27,2.000849,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,3.5,27,27,27,1,2,27,19,15,27,2.1001,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,3.999999,27,27,27,1,2,27,19,15,27,2.201016,1
1,1,2,2,15.50755,9.107565,0.3085001,0.3085001,15,3,4.499999,27,27,27,1,2,27,19,15,27,2.301068,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,4.999998,27,27,27,1,2,27,19,15,27,2.400088,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,5.499998,27,27,27,1,2,27,19,15,27,2.502029,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,5.999997,27,27,27,1,2,27,19,15,27,2.601266,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,6.499997,27,27,27,1,2,27,19,15,27,2.702524,1
