NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,15,19,23,0.1145318,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,15,19,23,0.2007791,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,15,19,23,0.3025807,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,15,19,23,0.4000465,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,15,19,23,0.5034033,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,5,15,19,23,0.6010233,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,0.7020559,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,0.8019183,1
0,1,2,2,0,1.707554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,0.9000276,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,1.002751,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,1.104187,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,1.202007,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,3,27,27,27,1,2,5,15,19,23,1.303545,1
0,1,2,2,0,4.207551,8.3085,0.3085001,15,3,3,27,27,27,1,2,5,15,19,23,1.402725,1
1,1,2,1,19.90756,4.707551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,15,19,23,1.502001,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,15,19,23,1.600828,1
1,1,2,1,18.90756,5.707551,0.3085,0.3075551,15,3,3,27,27,27,1,2,5,15,19,23,1.703479,1
1,1,2,1,18.40756,6.207554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,15,19,23,1.803605,1
1,1,2,1,17.90755,6.707556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,15,19,23,1.901612,1
1,1,2,1,17.40755,7.207557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,5,15,19,23,2.00017,1
1,1,2,1,16.90755,7.70756,0.3085,0.3075551,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.100873,1
1,1,2,2,16.40755,8.207561,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.203789,1
1,1,2,2,15.90755,8.707563,0.3085,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.300364,1
1,1,2,2,15.40755,9.207565,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.402841,1
1,1,2,2,14.90754,9.707567,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.502933,1
1,1,2,1,14.40754,10.20757,0.3085001,8.307555,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.60274,1
1,1,2,2,13.90754,10.70757,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.701194,1
1,1,2,2,13.40754,11.20757,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.800975,1
1,1,2,2,12.90753,11.70757,0.3085001,0.3085,15,3,3,27.3,27.3,27,1,2,5,15,19,23,2.901477,1
1,1,2,2,12.40753,12.20758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.003739,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.101376,1
1,1,2,2,11.40753,13.20758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.200576,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.302479,1
1,1,1,1,10.40753,14.20758,2.307555,8.307554,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.400097,1
1,1,2,2,9.907525,14.70759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.500509,1
1,1,2,2,9.407523,15.20759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.601808,1
1,1,2,2,8.907521,15.70759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.700688,1
1,1,2,2,8.407519,16.20759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.801675,1
1,1,2,2,7.907517,16.70759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,3.900897,1
1,1,2,2,7.407516,17.2076,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,5,15,19,23,4.002297,1
1,1,2,2,6.907513,17.7076,0.3085,0.3085,15,3,3.5,27.3,27.3,27,1,2,5,15,19,23,4.103004,1
1,1,2,2,6.407511,18.2076,0.3085001,0.3085001,15,3,3.999999,27.3,27.3,27,1,2,5,15,19,23,4.200304,1
1,1,2,2,5.90751,18.7076,0.3085001,0.3085001,15,3,4.499999,27.3,27.3,27,1,2,5,15,19,23,4.302047,1
1,1,2,2,5.407508,19.2076,0.3085001,0.3085001,15,3,4.999998,27.3,27.3,27,1,2,5,15,19,23,4.402821,1
1,1,2,2,4.907506,19.7076,0.3085001,0.3085001,15,3,5.499998,27.3,27.3,27,1,2,5,15,19,23,4.50041,1
1,0,2,2,4.407504,0,0.3085001,0.3085001,15,3,5.999997,27.3,27.3,27,1,2,5,15,19,23,4.603043,1
1,0,2,2,3.907502,0,0.3085,0.3085,15,3,6.499997,27.3,27.3,27,1,2,5,15,19,23,4.701451,1
1,0,2,2,3.4075,0,0.3085001,0.3085001,15,3,6.999996,27.3,27.3,27,1,2,5,15,19,23,4.801507,1
1,0,2,2,2.907498,0,0.3085001,0.3085001,15,3,7.499996,27.3,27.3,27,1,2,5,15,19,23,4.90076,1
1,0,2,2,2.407496,0,0.3085001,0.3085001,15,3,7.999995,27.3,27.3,27,1,2,5,15,19,23,5.003808,1
5,0,2,2,0.8084486,0,0.3085001,0.3085001,15,3,8.499997,27.3,27.3,27,1,2,5,15,19,23,5.101111,0
5,0,2,2,0.8084486,0,0.3085001,0.3085001,15,3,8.999999,27.3,27.3,27,1,2,5,15,19,23,5.203614,0
5,0,2,2,0.8084486,0,0.3085001,0.3085001,15,3,9.500001,27.3,27.3,27,1,2,5,15,19,23,5.302275,0
6,0,2,2,0.6576909,0,0.3085001,0.3085001,15,3,10,27.3,27.3,27,1,2,5,15,19,23,5.403773,0
6,0,2,2,0.6576909,0,0.3085001,0.3085001,15,3,10.5,27.3,27.3,27,1,2,5,15,19,23,5.501901,0
6,0,2,2,0.6576909,0,0.3085001,0.3085001,15,3,11.00001,27.3,27.3,27,1,2,5,15,19,23,5.601495,0
6,0,2,2,0.6576909,0,0.3085001,0.3085001,15,3,11.50001,27.3,27.3,27,1,2,5,15,19,23,5.703601,0
6,0,2,2,0.6576909,0,0.3085001,0.3085001,15,3,12.00001,27.3,27.3,27,1,2,5,15,19,23,5.802172,0
0,0,2,2,0,0,0.3085001,0.3085001,15,3,12.50001,27.3,27.3,27,0,2,5,15,19,23,5.900239,0
1,0,2,2,2.007495,0,0.3085001,0.3085001,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.000408,0
1,0,2,2,2.007495,0,0.3085001,0.3085001,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.103128,0
1,0,2,2,1.507493,0,0.3085001,0.3085001,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.203569,1
1,0,2,2,1.007491,0,0.3085001,0.3085001,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.301796,1
1,0,6,1,0.5074891,0,0.6577644,8.307555,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.401925,1
1,0,6,1,0.1074876,0,0.6577644,8.307555,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.500112,3
1,2,6,1,0.1074876,0.5085676,0.2577628,8.707557,15,3,13.00001,27.3,27.3,27,1,2,5,15,19,23,6.600368,3
1,2,5,1,0.1074876,0.5085676,9.988482,8.807557,15,3,100,100,27.3,27,1,2,5,15,19,23,6.702811,0
1,2,5,1,0.1074876,0.5085676,10.78848,8.807557,15,3,100,100,27.3,27,1,2,5,15,19,23,6.801888,0
1,2,0,1,0.1074876,0.5085676,0,8.807557,15,3,100,100,27.3,27,0,2,5,15,19,23,6.900289,0
1,2,0,1,0.1074876,0.5085676,0,8.807557,15,3,100,100,27.3,27,0,2,5,15,19,23,7.001355,0
1,2,0,1,0.1074876,0.5085676,0,8.807557,15,3,100,100,27.3,27,0,2,5,15,19,23,7.100224,0
1,2,0,1,0.1074876,0.5085676,0,9.307559,15,3,100,100,27.3,27,0,2,5,15,19,23,7.201131,3
1,2,0,1,0.1074876,0.5085676,0,9.807561,15,3,100,100,27.3,27,0,2,5,15,19,23,7.302215,3
1,2,0,1,0.1074876,0.5085676,0,10.30756,15,3,100,100,27.3,27,0,2,5,15,19,23,7.403139,3
1,2,0,1,0.1074876,0.5085676,0,10.80756,15,3,100,100,27.3,27,0,2,5,15,19,23,7.501753,3
1,2,0,1,0.1074876,0.5085676,0,11.30757,15,3,100,100,27.3,27,0,2,5,15,19,23,7.60042,3
1,2,0,1,0.1074876,0.5085676,0,11.80757,15,3,100,100,27.3,27,0,2,5,15,19,23,7.702478,3
1,1,0,1,0.1074876,4.507622,0,12.30757,15,3,100,100,27.3,27,0,2,5,15,19,23,7.803158,3
