NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,11,7,27,0.1188621,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,11,7,27,0.2076594,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,11,7,27,0.3080788,0
0,1,2,1,0,0.3075551,0.6085013,8.007554,15,3,27,27,3,27,1,2,15,11,7,27,0.4011658,4
2,1,2,1,0.3085001,0.3075551,1.108503,7.507552,15,3,27,27,3,27,1,2,15,11,7,27,0.501229,4
2,1,2,1,0.3085001,0.3075551,1.308504,7.307551,15,3,27,27,3,27,1,2,15,11,7,27,0.6064428,0
2,1,2,1,0.1085002,0.5075549,1.308504,7.307551,15,3,27,27,3,27,1,2,15,11,7,27,0.7076058,1
2,1,2,1,0.008500335,0.6075547,1.308504,7.307551,15,3,27,27,3,27,1,2,15,11,7,27,0.8174288,3
2,1,2,1,0.008500335,0.6075547,0.808502,7.807553,15,3,27,27,3,27,1,2,15,11,7,27,0.9072695,3
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,27,27,3,27,1,2,15,11,7,27,1.008364,3
0,1,2,1,0,0.6075548,0.008498904,8.607556,15,3,27,27,3,27,1,2,15,11,7,27,1.105749,1
0,1,2,2,0,1.107554,0.008498904,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.20218,1
0,1,2,2,0,1.607554,0.008498904,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.301457,1
0,1,2,2,0,2.107553,0.008498904,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.402839,1
0,1,2,2,0,2.607553,0.008498904,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.503289,1
0,1,2,2,0,3.107553,0.008498904,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.606202,1
0,1,2,2,0,3.607552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.704696,1
0,1,2,2,0,4.107551,8.008499,0.6085013,15,3,27,27,3,27,1,2,15,11,7,27,1.805339,1
0,1,2,2,0,4.607551,8.008499,0.6085012,15,3,27,27,3,27,1,2,15,11,7,27,1.904683,1
1,1,2,1,19.50756,5.10755,0.008498904,0.6075562,15,3,27,27,3,27,1,2,15,11,7,27,2.004639,1
1,1,2,1,19.00756,5.607551,0.008498904,0.6075562,15,3,26.5,27,3,27.3,1,2,15,11,7,27,2.106344,1
1,1,2,1,18.50756,6.107553,0.008498904,0.6075562,15,3,26,27,3,27.3,1,2,15,11,7,27,2.215659,1
1,1,2,1,18.00756,6.607555,0.008498904,0.6075562,15,3,25.49999,27,3,27.3,1,2,15,11,7,27,2.305816,1
1,1,2,1,17.50755,7.107557,0.008498904,0.6075562,15,3,24.99999,27,3,27.3,1,2,15,11,7,27,2.407194,1
1,1,2,1,17.00755,7.607559,0.008498904,0.6075562,15,3,24.49999,27,3,27.3,1,2,15,11,7,27,2.506763,1
1,1,2,2,16.50755,8.107561,0.008498904,0.6085013,15,3,23.99999,27,3,27.3,1,2,15,11,7,27,2.605968,1
1,1,2,2,16.00755,8.607563,0.008498904,0.6085013,15,3,23.49999,27,3,27.3,1,2,15,11,7,27,2.705398,1
1,1,2,2,15.50755,9.107565,0.008498904,0.6085013,15,3,22.99998,27,3,27.3,1,2,15,11,7,27,2.805342,1
1,1,2,2,15.00754,9.607568,0.008498904,0.6085013,15,3,22.49998,27,3,27.3,1,2,15,11,7,27,2.905448,1
1,1,2,1,14.50754,10.10757,0.008498904,8.607556,15,3,21.99998,27,3,27.3,1,2,15,11,7,27,3.005484,1
1,1,2,1,14.00754,10.60757,0.008498904,8.607555,15,3,21.49998,27,3,27.3,1,2,15,11,7,27,3.113738,1
1,1,2,2,13.50754,11.10757,0.008498904,0.6085013,15,3,20.99998,27,3,27.3,1,2,15,11,7,27,3.206821,1
1,1,2,2,13.00754,11.60757,0.008498904,0.6085013,15,3,20.49998,27,3,27.3,1,2,15,11,7,27,3.302578,1
1,1,2,2,12.50753,12.10758,0.008498904,0.6085013,15,3,19.99997,27,3,27.3,1,2,15,11,7,27,3.408056,1
1,1,2,2,12.50753,12.10758,0.4085005,0.2084997,15,3,19.49997,27,3,27.3,1,2,15,11,7,27,3.500406,4
1,1,2,2,12.50753,12.10758,0.6085013,0.008498904,15,3,18.99997,27,3,27.3,1,2,15,11,7,27,3.607512,4
1,1,2,2,12.50753,12.10758,0.6085013,0.008498904,15,3,18.49997,27,3,27.3,1,2,15,11,7,27,3.708098,1
1,1,2,2,12.00753,12.60758,0.6085013,0.008498904,15,3,17.99997,27,3,27.3,1,2,15,11,7,27,3.806544,1
1,1,2,2,11.50753,13.10758,0.6085013,0.008498904,15,3,17.49996,27,3,27.3,1,2,15,11,7,27,3.907096,1
5,1,2,2,9.811375,13.30758,0.6085013,0.008498904,15,3,16.99996,27,3,27.3,1,2,15,11,7,27,4.007411,4
5,1,2,2,9.811375,13.30758,0.6085013,0.008498904,15,3,17.49996,27,3.5,27.3,1,2,15,11,7,27,4.100639,4
5,1,2,2,9.811375,13.30758,0.6085013,0.008498904,15,3,17.99997,27,3.999999,27.3,1,2,15,11,7,27,4.206903,4
1,1,2,2,11.30753,13.30758,0.6085013,0.008498904,15,3,18.49997,27,4.499999,27.3,1,2,15,11,7,27,4.307674,4
1,1,2,2,11.00753,13.60758,0.6085013,0.008498904,15,3,18.99997,27,4.999998,27.3,1,2,15,11,7,27,4.407609,1
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,19.49997,27,5.499998,27.3,1,2,15,11,7,27,4.500381,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,19.99997,27,5.999997,27.3,1,2,15,11,7,27,4.607072,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,20.49998,27,6.499997,27.3,1,2,15,11,7,27,4.706591,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,20.99998,27,6.999996,27.3,1,2,15,11,7,27,4.806719,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,21.49998,27,7.499996,27.3,1,2,15,11,7,27,4.906847,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,21.99998,27,7.999995,27.3,1,2,15,11,7,27,5.013498,1
1,1,1,1,10.20753,14.40758,2.607556,8.007554,15,3,22.49998,27,8.499997,27.3,1,2,15,11,7,27,5.106886,1
1,1,2,2,9.707524,14.90759,0.6085013,0.008498904,15,3,22.99998,27,8.999999,27.3,1,2,15,11,7,27,5.212899,1
6,1,2,2,7.857719,15.40759,0.6085013,0.008498904,15,3,23.49999,27,9.500001,27.3,1,2,15,11,7,27,5.306985,1
6,1,2,2,7.357717,15.90759,0.6085013,0.008498904,15,3,23.99999,27,10,27.3,1,2,15,11,7,27,5.413852,1
6,1,2,2,6.857715,16.40759,0.6085013,0.008498904,15,3,24.49999,27,10.5,27.3,1,2,15,11,7,27,5.500389,1
6,1,2,2,6.357713,16.90759,0.6085013,0.008498904,15,3,24.99999,27,11.00001,27.3,0,2,15,11,7,27,5.609065,1
0,1,2,2,0,17.4076,0.6085013,0.008498904,15,3,25.49999,27,11.50001,27.3,0,2,15,11,7,27,5.707134,1
0,1,2,2,0,17.9076,0.6085013,0.008498904,15,3,26,27,12.00001,27.3,0,2,15,11,7,27,5.806563,1
0,1,2,2,0,18.4076,0.6085013,0.008498904,15,3,26.5,27,12.50001,27.3,0,2,15,11,7,27,5.907512,1
0,1,2,2,0,18.9076,0.6085013,0.008498904,15,3,27,27,13.00001,27.3,0,2,15,11,7,27,6.00724,1
0,1,2,2,0,19.4076,0.6085013,0.008498904,15,3,27,27,13.50002,27.3,0,2,15,11,7,27,6.100049,1
0,1,2,2,0,19.9076,0.6085013,0.008498904,15,3,27,27,14.00002,27.3,0,2,15,11,7,27,6.2071,1
1,0,2,2,4.207503,0,0.6085013,0.008498904,15,3,27,27,14.50002,27.3,1,2,15,11,7,27,6.306688,1
1,0,2,2,3.707501,0,0.6085013,0.008498904,15,3,27,27,15.00002,27.3,1,2,15,11,7,27,6.407702,1
1,0,2,2,3.207499,0,0.6085013,0.008498904,15,3,27,27,15.50002,27.3,1,2,15,11,7,27,6.507197,1
1,0,2,2,2.707498,0,0.6085013,0.008498904,15,3,27,27,16.00002,27.3,1,2,15,11,7,27,6.600321,1
1,0,2,2,2.407496,0,0.6085013,0.008498904,15,3,27,27,16.50003,27.3,1,2,15,11,7,27,6.706845,0
1,0,2,2,2.407496,0,0.6085013,0.008498904,15,3,27,27,17.00003,27.3,1,2,15,11,7,27,6.807089,0
1,0,2,2,2.207496,0,0.6085013,0.008498904,15,3,27,27,17.50003,27.3,1,2,15,11,7,27,6.906727,1
