NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,21,27,19,27,0.1168306,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.2059257,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.3058561,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.4057801,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.5055456,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.6060909,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.7062438,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.8054125,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,0.9057719,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,3,27,27,27,0,2,21,27,19,27,1.006943,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.106224,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.214309,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.305636,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.405831,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.505563,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.605989,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.705665,1
0,1,2,2,0,4.507551,8.3085,0.3085001,15,3,3,27,27,27,0,2,21,27,19,27,1.806041,1
0,1,2,1,0,5.00755,0.3085001,0.3075551,15,3,3,27,27,27,0,2,21,27,19,27,1.905921,1
0,1,2,1,0,5.507551,0.3085001,0.3075551,15,3,3,27,27,27,0,2,21,27,19,27,2.005646,1
0,1,2,1,0,6.007553,0.3085001,0.3075551,15,3,3.5,27,26.5,27,0,2,21,27,19,27,2.106042,1
0,1,2,1,0,6.507555,0.3085001,0.3075551,15,3,3.999999,27,26,27,0,2,21,27,19,27,2.205611,1
0,1,2,1,0,7.007556,0.3085001,0.3075551,15,3,4.499999,27,25.49999,27,0,2,21,27,19,27,2.305608,1
0,1,2,1,0,7.507559,0.3085001,0.3075551,15,3,4.999998,27,24.99999,27,0,2,21,27,19,27,2.400089,1
0,1,2,2,0,8.007561,0.3085001,0.3085001,15,3,5.499998,27,24.49999,27,0,2,21,27,19,27,2.505515,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,6.099997,27,23.89999,27,1,2,21,27,19,27,2.616247,1
1,1,2,2,15.60755,9.007565,0.3085001,0.3085001,15,3,6.499997,27,23.49999,27,1,2,21,27,19,27,2.705269,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,7.099996,27,22.89998,27,1,2,21,27,19,27,2.807752,1
