NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,25,23,21,0.1122564,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,25,23,21,0.2045107,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,25,23,21,0.3012027,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,25,23,21,0.4040856,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,0.5047866,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,0.6018013,1
0,1,2,2,0,1.707554,0.3085001,0.3085,15,3,27,27,3,27,1,2,19,25,23,21,0.7057007,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,0.8005075,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,0.9056923,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,1.003764,1
0,1,2,2,0,3.607552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,1.102428,1
0,1,2,2,0,4.207551,8.3085,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,1.204841,1
1,1,2,1,19.90756,4.707551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.302913,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.405802,1
1,1,2,1,18.90756,5.707551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.505024,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.601063,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.702449,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.800872,1
1,1,2,1,16.90755,7.70756,0.3085,0.3075551,15,3,27,27,3,27,1,2,19,25,23,21,1.905444,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,25,23,21,2.00167,1
1,1,2,2,15.90755,8.707563,0.3085,0.3085001,15,3,26.4,27,3,27,1,2,19,25,23,21,2.103565,1
1,1,2,2,15.40755,9.207565,0.3085001,0.3085001,15,3,25.9,27,3,27,1,2,19,25,23,21,2.203354,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,25.49999,27,3,27,1,2,19,25,23,21,2.301679,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,24.99999,27,3,27,1,2,19,25,23,21,2.400746,1
1,1,2,2,13.90754,10.70757,0.3085001,0.3085001,15,3,24.39999,27,3,27,1,2,19,25,23,21,2.503689,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,23.99999,27,3,27,1,2,19,25,23,21,2.602735,1
1,1,2,2,13.00754,11.60757,0.3085001,0.3085001,15,3,23.49999,27,3,27,1,2,19,25,23,21,2.702635,1
1,1,2,2,12.40753,12.20758,0.3085001,0.3085001,15,3,22.89998,27,3,27,1,2,19,25,23,21,2.803173,1
1,1,2,2,12.00753,12.60758,0.3085001,0.3085001,15,3,22.49998,27,3,27,1,2,19,25,23,21,2.90222,1
1,1,2,2,11.40753,13.20758,0.3085001,0.3085001,15,3,21.89998,27,3,27,1,2,19,25,23,21,3.004822,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,21.39998,27,3,27,1,2,19,25,23,21,3.102955,1
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,20.99998,27,3,27,1,2,19,25,23,21,3.200227,1
1,1,1,1,10.00753,14.60758,2.307555,8.307555,15,3,20.49998,27,3,27,1,2,19,25,23,21,3.301272,1
1,1,2,2,9.507524,15.10759,0.3085001,0.3085001,15,3,19.99997,27,3,27,1,2,19,25,23,21,3.402398,1
1,1,2,2,9.007522,15.60759,0.3085001,0.3085001,15,3,19.49997,27,3,27,1,2,19,25,23,21,3.501707,1
1,1,2,2,8.407519,16.20759,0.3085001,0.3085001,15,3,18.89997,27,3,27,1,2,19,25,23,21,3.607237,1
1,1,2,2,8.007518,16.60759,0.3085001,0.3085001,15,3,18.49997,27,3,27,1,2,19,25,23,21,3.702369,1
1,1,2,2,7.507515,17.10759,0.3085001,0.3085001,15,3,17.99997,27,3,27,1,2,19,25,23,21,3.801865,1
1,1,2,2,6.907513,17.7076,0.3085,0.3085001,15,3,17.39996,27,3,27,1,2,19,25,23,21,3.903203,1
1,1,2,2,6.407511,18.2076,0.3085001,0.3085001,15,3,16.89996,27,3,27,1,2,19,25,23,21,4.004325,1
1,1,2,2,5.90751,18.7076,0.3085001,0.3085001,15,3,16.39996,27,3,26.5,1,2,19,25,23,21,4.103599,1
1,1,2,2,5.407508,19.2076,0.3085001,0.3085001,15,3,15.89996,27,3,26,1,2,19,25,23,21,4.202867,1
5,1,2,2,3.508451,19.6076,0.3085001,0.3085001,15,3,15.49996,27,3,25.59999,1,2,19,25,23,21,4.301188,1
5,1,2,2,3.30845,19.80761,0.3085001,0.3085001,15,3,14.99995,27,3,25.09999,1,2,19,25,23,21,4.400484,0
5,1,2,2,3.30845,19.80761,0.3085001,0.3085001,15,3,14.49995,27,3,24.59999,1,2,19,25,23,21,4.500855,0
1,1,2,2,4.807505,19.80761,0.3085001,0.3085001,15,3,13.99995,27,3,24.09999,1,2,19,25,23,21,4.601518,0
1,1,2,2,4.807505,19.80761,0.3085001,0.3085001,15,3,13.49995,27,3,23.59999,1,2,19,25,23,21,4.702391,0
1,1,2,2,4.807505,19.80761,0.3085001,0.3085001,15,3,12.99995,27,3,23.09999,0,2,19,25,23,21,4.802374,0
0,1,2,2,0,19.80761,0.3085001,0.3085001,15,3,12.39994,27,3,22.49998,0,2,19,25,23,21,4.904446,0
0,1,2,2,0,19.80761,0.3085001,0.3085001,15,3,11.89994,27,3,21.99998,0,2,19,25,23,21,5.003275,0
6,1,2,2,3.157701,19.80761,0.3085001,0.3085001,15,3,11.39994,27,3,21.49998,1,2,19,25,23,21,5.102812,0
0,1,2,2,0,19.80761,0.3085001,0.3085001,15,3,10.89994,27,3,20.99998,0,2,19,25,23,21,5.203164,0
0,1,2,2,0,19.80761,0.3085001,0.3085001,15,3,10.39994,27,3,20.49998,0,2,19,25,23,21,5.303196,0
